OS,TIPO,TIPO EQUIPAMENTO,EQUIPAMENTO,MARCA,HORARIO INICIO,HORARIO FIM,TIPO DE SERVIÇO,COMPLEMENTO,RESOLUÇÃO,TEMPO
1823508,PREVENTIVA,BOMBA INFUSORA,CADD LEGACY PLUS 6500,SMITHS MEDICAL,,,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,
1820050,PREVENTIVA,MESA CIRURGICA - ELETRICA,BF683 TDP,BARRFAB,2024-01-25 08:00:00,2024-01-25 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874345,PREVENTIVA,HEMODIALISADOR - CONTINUO,PRISMAFLEX,GAMBRO,2024-03-07 10:00:00,2024-03-07 11:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1820037,SEG. ELETRICA,POLIGRAFO,SP12,TEB,2024-01-26 16:30:00,2024-01-26 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,0.5
1853630,PREVENTIVA,VENOSCOPIO,EASYVEIN 500,ICONE MEDICAL,2024-01-01 08:00:00,2024-04-15 10:25:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ATUALIZAÇÃO DE DADOS NO SISTEMA,2522.42
1820064,SEG. ELETRICA,BISTURI - ELETRICO,SS 501 S,WEM,2024-01-26 10:00:00,2024-01-26 11:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,1.0
1874244,PREVENTIVA,POLIGRAFO,SP12,TEB,2024-02-20 09:00:00,2024-02-20 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874291,PREVENTIVA,BALANCA - ANTROPOMETRICA,W 200,WELMY,2024-02-19 14:00:00,2024-02-19 15:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874266,PREVENTIVA,MONITOR - TRANSPORTE,IMEC8,MINDRAY,2024-02-15 08:00:00,2024-02-15 09:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1874334,PREVENTIVA,INSUFLADOR - CO2,PNEUMOSURE XL,STRYKER,2024-01-23 13:00:00,2024-01-23 14:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
